group,threshold,paco2_bin,count,weight,tn_q025,tn_q50,tn_q975,fp_q025,fp_q50,fp_q975,fn_q025,fn_q50,fn_q975,tp_q025,tp_q50,tp_q975
pft,45.0,11.0,1,9.563886763580719e-05,1.0,1.0,1.0,5.179758054595165e-113,3.0387768520928345e-71,3.124643830674232e-49,0.0,0.0,0.0,0.0,0.0,0.0
pft,45.0,15.0,2,0.00019127773527161438,1.0,1.0,1.0,1.6785256313376024e-88,5.391736060670401e-56,6.844767343956341e-39,0.0,0.0,0.0,0.0,0.0,0.0
pft,45.0,16.0,1,9.563886763580719e-05,1.0,1.0,1.0,1.1627968253342918e-82,1.8710270365239587e-52,1.6261311188947967e-36,0.0,0.0,0.0,0.0,0.0,0.0
pft,45.0,17.0,4,0.00038255547054322876,1.0,1.0,1.0,5.056453045113905e-77,4.569577846465992e-49,3.2166749829643744e-34,0.0,0.0,0.0,0.0,0.0,0.0
pft,45.0,18.0,3,0.0002869166029074216,1.0,1.0,1.0,8.236650732551224e-72,9.804055531806188e-46,5.312948917600699e-32,0.0,0.0,0.0,0.0,0.0,0.0
pft,45.0,19.0,4,0.00038255547054322876,1.0,1.0,1.0,6.01163902152609e-67,1.5299897468656012e-42,7.327044209843378e-30,0.0,0.0,0.0,0.0,0.0,0.0
pft,45.0,20.0,24,0.0022953328232593728,1.0,1.0,1.0,6.347255216197473e-62,1.9042150651318436e-39,8.444512537974733e-28,0.0,0.0,0.0,0.0,0.0,0.0
pft,45.0,21.0,19,0.0018171384850803366,1.0,1.0,1.0,5.050723525302897e-57,1.786085171839157e-36,8.136421617706054e-26,0.0,0.0,0.0,0.0,0.0,0.0
pft,45.0,22.0,27,0.002582249426166794,1.0,1.0,1.0,1.3059497887798085e-52,1.2821021788013376e-33,6.554464727094163e-24,0.0,0.0,0.0,0.0,0.0,0.0
pft,45.0,23.0,28,0.0026778882938026014,1.0,1.0,1.0,1.7723633877868982e-48,6.203733695559542e-31,4.276526714044722e-22,0.0,0.0,0.0,0.0,0.0,0.0
pft,45.0,24.0,44,0.004208110175975516,1.0,1.0,1.0,2.8522468665411654e-44,2.412686559243333e-28,2.2820900021713943e-20,0.0,0.0,0.0,0.0,0.0,0.0
pft,45.0,25.0,74,0.007077276205049732,1.0,1.0,1.0,2.0033368495481795e-40,6.783472131960114e-26,1.0236277072705905e-18,0.0,0.0,0.0,0.0,0.0,0.0
pft,45.0,26.0,71,0.006790359602142311,1.0,1.0,1.0,1.7172404964913693e-36,1.5127829700580464e-23,3.860010265106663e-17,0.0,0.0,0.0,0.0,0.0,0.0
pft,45.0,27.0,82,0.00784238714613619,0.9999999999999988,1.0,1.0,9.169622974146737e-33,2.6974837577574885e-21,1.223916339608033e-15,0.0,0.0,0.0,0.0,0.0,0.0
pft,45.0,28.0,127,0.012146136189747513,0.9999999999999674,1.0,1.0,2.591122096810382e-29,3.4383325798914692e-19,3.2614302110774386e-14,0.0,0.0,0.0,0.0,0.0,0.0
pft,45.0,29.0,150,0.014345830145371078,0.999999999999224,1.0,1.0,2.611485919901583e-26,3.2881593139534676e-17,7.759790723985537e-13,0.0,0.0,0.0,0.0,0.0,0.0
pft,45.0,30.0,208,0.019892884468247895,0.9999999999832013,0.9999999999999976,1.0,3.0933853224816636e-23,2.446534533963268e-15,1.6798698935961103e-11,0.0,0.0,0.0,0.0,0.0,0.0
